,Unnamed: 0,Unnamed: 0.1,French,English
0,0,0,partie,part
1,1,1,histoire,history
2,2,2,chercher,search
3,3,3,seulement,only
4,4,4,police,police
5,5,5,aide,help
6,6,6,demande,request
7,7,7,genre,kind
8,8,8,mois,month
9,9,9,frère,brother
10,10,10,laisser,let
11,11,11,car,because
12,12,12,mettre,to put
13,13,13,aucun,no
14,14,14,laisse,leash
15,15,15,eux,them
16,16,16,ville,city
17,17,17,chaque,each
18,18,18,parlé,speak
19,19,19,arrivé,come
20,20,20,devrait,should
21,21,21,bébé,baby
22,22,22,longtemps,long time
23,23,23,heures,hours
24,24,24,vont,will
25,25,25,pendant,while
26,26,26,revoir,meet again
27,27,27,place,square
28,28,28,parle,speak
29,29,29,compris,understood
30,30,30,savais,knew
31,31,31,étaient,were
32,32,32,attention,Warning
33,33,33,voici,here is
34,34,34,pourrais,could
35,35,35,affaire,case
36,36,36,donner,give
37,37,37,type,type
38,38,38,leurs,their
39,39,39,donné,given
40,40,40,train,train
41,42,42,endroit,place
42,43,43,yeux,eyes
43,44,44,façon,way
44,45,45,écoute,listen
45,46,46,dont,whose
46,47,47,trouve,find
47,48,48,premier,first
48,49,49,perdu,lost
49,50,50,main,hand
50,51,51,première,first
51,52,52,côté,side
52,53,53,pouvoir,power
53,54,54,vieux,old
54,55,55,sois,be
55,56,56,tiens,here
56,57,57,matin,morning
57,58,58,tellement,so much
58,59,59,enfant,child
59,60,60,point,point
60,61,61,venu,came
61,62,62,suite,after
62,63,63,pardon,sorry
63,64,64,venez,come
64,65,65,devant,in front of
65,66,67,minutes,minutes
66,67,68,demandé,request
67,68,69,chambre,bedroom
68,69,70,mis,placed
69,70,71,belle,beautiful
70,71,72,droit,law
71,72,73,aimerais,would like to
72,73,74,aujourd'hui,today
73,74,75,mari,husband
74,75,76,cause,cause
75,76,77,enfin,finally
76,77,78,espère,hope
77,78,79,eau,water
78,79,80,attendez,Wait
79,80,81,parti,left
80,81,82,nouvelle,new
81,82,83,boulot,job
82,83,84,arrêter,Stop
83,84,85,dirait,would say
84,85,86,terre,Earth
85,86,87,compte,account
86,87,88,donne,given
87,88,89,loin,far
88,89,90,fin,end
89,90,91,croire,believe
90,91,92,chérie,sweetheart
91,92,93,gros,large
92,93,94,plutôt,rather
93,94,95,aura,will have
94,95,96,filles,girls
95,96,97,jouer,to play
96,97,98,bureau,office
